label,accession,source
Query_508816|PDGDJCHL_17863|Daphnia_pulex_virus,Daphnia pulex virus,Arthropod
gb|XHA86765.1|Qianjiang_tombus-like_virus_162,XHA86765.1,Arthropod
gb|UGO57112.1|Riboviria_sp,UGO57112.1,Chordate
gb|XHA87058.1|Qianjiang_tombus-like_virus_281,XHA87058.1,Arthropod
gb|WKV34200.1|Riboviria_sp,WKV34200.1,Chordate
gb|XHA87189.1|Qianjiang_tombus-like_virus_346,XHA87189.1,Arthropod
gb|XHA87028.1|Qianjiang_tombus-like_virus_267,XHA87028.1,Arthropod
ref|NP_038453.1|Japanese_iris_necrotic_ring_virus,NP_038453.1,Angiosperm
gb|WRQ65352.1|Tolivirales_sp,WRQ65352.1,Environment
gb|WRQ65683.1|Tolivirales_sp,WRQ65683.1,Environment
gb|WRQ65454.1|Tolivirales_sp,WRQ65454.1,Environment
gb|UHS72254.1|Betacarmovirus_sp,UHS72254.1,Chordate
gb|WRQ65299.1|Tolivirales_sp,WRQ65299.1,Environment
gb|XHA86511.1|Qianjiang_tombus-like_virus_72,XHA86511.1,Arthropod
gb|WKV34284.1|Riboviria_sp,WKV34284.1,Chordate
gb|WRQ65445.1|Tolivirales_sp,WRQ65445.1,Environment
gb|XHA86888.1|Qianjiang_tombus-like_virus_206,XHA86888.1,Arthropod
gb|UHS72255.1|Betacarmovirus_sp,UHS72255.1,Chordate
ref|YP_009032645.1|Carnation_mottle_virus,YP_009032645.1,Angiosperm
gb|XHA86599.1|Qianjiang_tombus-like_virus_103,XHA86599.1,Arthropod
gb|XHA86539.1|Qianjiang_tombus-like_virus_82,XHA86539.1,Arthropod
gb|XHA87124.1|Qianjiang_tombus-like_virus_312,XHA87124.1,Arthropod
gb|XHA86823.1|Qianjiang_tombus-like_virus_183,XHA86823.1,Arthropod
gb|WRQ65129.1|Tolivirales_sp,WRQ65129.1,Environment
gb|WRQ65290.1|Tolivirales_sp,WRQ65290.1,Environment
gb|WWV88801.1|Riboviria_sp,WWV88801.1,Chordate
gb|UQB76141.1|Flumine_tombus-like_virus_26,UQB76141.1,Environment
gb|WET17742.1|Alilaet_virus,WET17742.1,Arthropod
gb|XII42712.1|clirnapec_virus_97,XII42712.1,Mollusc
gb|WRQ65748.1|Tolivirales_sp,WRQ65748.1,Environment
gb|QQP18784.2|Soybean_thrips_tombus-like_virus_3,QQP18784.2,Arthropod
gb|XHA87051.1|Qianjiang_tombus-like_virus_278,XHA87051.1,Arthropod
gb|XHA86640.1|Qianjiang_tombus-like_virus_117,XHA86640.1,Arthropod
gb|UUW21089.1|Sanya_tombus-like_virus_2,UUW21089.1,Arthropod
gb|XHA86308.1|Tombunodavirus_UC1,XHA86308.1,Arthropod
gb|XHA86634.1|Qianjiang_tombus-like_virus_115,XHA86634.1,Arthropod
